Frequency (Hz),Frequency (rad/sec),Gain (V/V),Gain (dB),Phase (Deg),Phase (Rad),Group Delay (uSec)
4466.836,28065.958,0.005,-46.791,-176.083,-3.073,2.44
4518.559,28390.946,0.004,-46.991,-176.127,-3.074,2.384
4570.882,28719.698,0.004,-47.191,-176.172,-3.075,2.33
4623.81,29052.256,0.004,-47.391,-176.216,-3.076,2.277
4677.351,29388.666,0.004,-47.591,-176.259,-3.076,2.225
4731.513,29728.97,0.004,-47.791,-176.302,-3.077,2.174
4786.301,30073.216,0.004,-47.991,-176.344,-3.078,2.124
4841.724,30421.447,0.004,-48.191,-176.386,-3.079,2.076
4897.788,30773.711,0.004,-48.391,-176.428,-3.079,2.028
4954.502,31130.054,0.004,-48.591,-176.469,-3.08,1.982
5011.872,31490.523,0.004,-48.791,-176.509,-3.081,1.937
5069.907,31855.166,0.004,-48.991,-176.549,-3.081,1.893
5128.614,32224.031,0.003,-49.191,-176.589,-3.082,1.85
5188,32597.168,0.003,-49.391,-176.628,-3.083,1.808
5248.075,32974.625,0.003,-49.591,-176.666,-3.083,1.766
5308.844,33356.453,0.003,-49.791,-176.705,-3.084,1.726
5370.318,33742.703,0.003,-49.991,-176.742,-3.085,1.687
5432.503,34133.425,0.003,-50.191,-176.78,-3.085,1.648
5495.409,34528.671,0.003,-50.391,-176.817,-3.086,1.611
5559.043,34928.495,0.003,-50.591,-176.853,-3.087,1.574
5623.413,35332.948,0.003,-50.791,-176.889,-3.087,1.538
5688.529,35742.084,0.003,-50.991,-176.925,-3.088,1.503
5754.399,36155.958,0.003,-51.191,-176.96,-3.089,1.469
5821.032,36574.624,0.003,-51.391,-176.995,-3.089,1.435
5888.437,36998.138,0.003,-51.591,-177.029,-3.09,1.403
5956.621,37426.556,0.003,-51.791,-177.063,-3.09,1.371
6025.596,37859.935,0.003,-51.991,-177.097,-3.091,1.339
6095.369,38298.333,0.002,-52.191,-177.13,-3.092,1.309
6165.95,38741.807,0.002,-52.391,-177.163,-3.092,1.279
6237.348,39190.416,0.002,-52.591,-177.196,-3.093,1.25
6309.573,39644.219,0.002,-52.791,-177.228,-3.093,1.221
6382.635,40103.278,0.002,-52.991,-177.259,-3.094,1.194
6456.542,40567.652,0.002,-53.191,-177.291,-3.094,1.166
6531.306,41037.403,0.002,-53.391,-177.322,-3.095,1.14
6606.934,41512.594,0.002,-53.591,-177.353,-3.095,1.114
6683.439,41993.287,0.002,-53.791,-177.383,-3.096,1.088
6760.83,42479.546,0.002,-53.991,-177.413,-3.096,1.064
6839.116,42971.436,0.002,-54.191,-177.442,-3.097,1.039
6918.31,43469.022,0.002,-54.391,-177.472,-3.097,1.016
6998.42,43972.369,0.002,-54.591,-177.501,-3.098,0.993
7079.458,44481.546,0.002,-54.791,-177.529,-3.098,0.97
7161.434,44996.618,0.002,-54.991,-177.558,-3.099,0.948
7244.36,45517.654,0.002,-55.191,-177.586,-3.099,0.926
7328.245,46044.723,0.002,-55.391,-177.613,-3.1,0.905
7413.102,46577.896,0.002,-55.591,-177.641,-3.1,0.885
7498.942,47117.243,0.002,-55.791,-177.668,-3.101,0.864
7585.776,47662.835,0.002,-55.991,-177.694,-3.101,0.845
7673.615,48214.744,0.002,-56.191,-177.721,-3.102,0.825
7762.471,48773.045,0.002,-56.391,-177.747,-3.102,0.807
7852.356,49337.81,0.001,-56.591,-177.773,-3.103,0.788
7943.282,49909.115,0.001,-56.791,-177.798,-3.103,0.77
8035.261,50487.035,0.001,-56.991,-177.823,-3.104,0.753
8128.305,51071.648,0.001,-57.191,-177.848,-3.104,0.736
8222.426,51663.029,0.001,-57.391,-177.873,-3.104,0.719
8317.638,52261.259,0.001,-57.591,-177.897,-3.105,0.703
8413.951,52866.416,0.001,-57.791,-177.921,-3.105,0.687
8511.38,53478.58,0.001,-57.991,-177.945,-3.106,0.671
8609.938,54097.833,0.001,-58.191,-177.969,-3.106,0.656
8709.636,54724.256,0.001,-58.391,-177.992,-3.107,0.641
8810.489,55357.933,0.001,-58.591,-178.015,-3.107,0.626
8912.509,55998.948,0.001,-58.791,-178.038,-3.107,0.612
9015.711,56647.385,0.001,-58.991,-178.06,-3.108,0.598
9120.108,57303.331,0.001,-59.191,-178.082,-3.108,0.584
9225.714,57966.872,0.001,-59.391,-178.104,-3.109,0.571
9332.543,58638.097,0.001,-59.591,-178.126,-3.109,0.558
9440.609,59317.094,0.001,-59.791,-178.148,-3.109,0.545
9549.926,60003.954,0.001,-59.991,-178.169,-3.11,0.533
9660.509,60698.767,0.001,-60.191,-178.19,-3.11,0.521
9772.372,61401.625,0.001,-60.391,-178.21,-3.11,0.509
9885.531,62112.623,0.001,-60.591,-178.231,-3.111,0.497
10000,62831.853,0.001,-60.791,-178.251,-3.111,0.486
10115.795,63559.412,0.001,-60.991,-178.271,-3.111,0.475
10232.93,64295.395,0.001,-61.191,-178.291,-3.112,0.464
10351.422,65039.901,0.001,-61.391,-178.311,-3.112,0.453
10471.285,65793.027,0.001,-61.591,-178.33,-3.112,0.443
10592.537,66554.874,0.001,-61.791,-178.349,-3.113,0.433
10715.193,67325.544,0.001,-61.991,-178.368,-3.113,0.423
10839.269,68105.137,0.001,-62.191,-178.387,-3.113,0.414
10964.782,68893.757,0.001,-62.391,-178.405,-3.114,0.404
11091.748,69691.509,0.001,-62.591,-178.423,-3.114,0.395
11220.185,70498.499,0.001,-62.791,-178.441,-3.114,0.386
11350.108,71314.833,0.001,-62.991,-178.459,-3.115,0.377
11481.536,72140.62,0.001,-63.191,-178.477,-3.115,0.369
11614.486,72975.969,0.001,-63.391,-178.494,-3.115,0.36
11748.976,73820.991,0.001,-63.591,-178.512,-3.116,0.352
11885.022,74675.797,0.001,-63.791,-178.529,-3.116,0.344
12022.644,75540.502,0.001,-63.991,-178.545,-3.116,0.336
12161.86,76415.22,0.001,-64.191,-178.562,-3.116,0.328
12302.688,77300.067,0.001,-64.391,-178.579,-3.117,0.321
12445.146,78195.159,0.001,-64.591,-178.595,-3.117,0.314
12589.254,79100.617,0.001,-64.791,-178.611,-3.117,0.307
12735.031,80016.558,0.001,-64.991,-178.627,-3.118,0.3
12882.496,80943.107,0.001,-65.191,-178.643,-3.118,0.293
13031.668,81880.384,0.001,-65.391,-178.658,-3.118,0.286
13182.567,82828.514,0.001,-65.591,-178.673,-3.118,0.28
13335.214,83787.623,0.001,-65.791,-178.689,-3.119,0.273
13489.629,84757.838,0.001,-65.991,-178.704,-3.119,0.267
13645.831,85739.287,0,-66.191,-178.718,-3.119,0.261
13803.843,86732.101,0,-66.391,-178.733,-3.119,0.255
13963.684,87736.412,0,-66.591,-178.748,-3.12,0.249
14125.375,88752.351,0,-66.791,-178.762,-3.12,0.243
14288.94,89780.055,0,-66.991,-178.776,-3.12,0.238
14454.398,90819.659,0,-67.191,-178.79,-3.12,0.233
14621.772,91871.301,0,-67.391,-178.804,-3.121,0.227
14791.084,92935.121,0,-67.591,-178.818,-3.121,0.222
14962.357,94011.259,0,-67.791,-178.831,-3.121,0.217
15135.612,95099.858,0,-67.991,-178.845,-3.121,0.212
15310.875,96201.062,0,-68.191,-178.858,-3.122,0.207
15488.166,97315.018,0,-68.391,-178.871,-3.122,0.203
15667.511,98441.873,0,-68.591,-178.884,-3.122,0.198
15848.932,99581.776,0,-68.791,-178.897,-3.122,0.193
16032.454,100734.879,0,-68.991,-178.909,-3.123,0.189
16218.101,101901.334,0,-69.191,-178.922,-3.123,0.185
16405.898,103081.296,0,-69.391,-178.934,-3.123,0.18
16595.869,104274.921,0,-69.591,-178.946,-3.123,0.176
16788.04,105482.367,0,-69.791,-178.958,-3.123,0.172
16982.437,106703.796,0,-69.991,-178.97,-3.124,0.168
17179.084,107939.367,0,-70.191,-178.982,-3.124,0.165
17378.008,109189.246,0,-70.391,-178.994,-3.124,0.161
17579.236,110453.598,0,-70.591,-179.005,-3.124,0.157
17782.794,111732.591,0,-70.791,-179.017,-3.124,0.154
17988.709,113026.393,0,-70.991,-179.028,-3.125,0.15
18197.009,114335.177,0,-71.191,-179.039,-3.125,0.147
18407.72,115659.116,0,-71.391,-179.05,-3.125,0.143
18620.871,116998.385,0,-71.591,-179.061,-3.125,0.14
18836.491,118353.163,0,-71.791,-179.072,-3.125,0.137
19054.607,119723.628,0,-71.991,-179.082,-3.126,0.134
19275.249,121109.962,0,-72.191,-179.093,-3.126,0.131
19498.446,122512.349,0,-72.391,-179.103,-3.126,0.128
19724.227,123930.976,0,-72.591,-179.113,-3.126,0.125
19952.623,125366.029,0,-72.791,-179.124,-3.126,0.122
20183.664,126817.699,0,-72.991,-179.134,-3.126,0.119
20417.379,128286.179,0,-73.191,-179.144,-3.127,0.117
20653.802,129771.662,0,-73.391,-179.153,-3.127,0.114
20892.961,131274.348,0,-73.591,-179.163,-3.127,0.111
21134.89,132794.433,0,-73.791,-179.173,-3.127,0.109
21379.621,134332.12,0,-73.991,-179.182,-3.127,0.106
21627.185,135887.613,0,-74.191,-179.191,-3.127,0.104
21877.616,137461.117,0,-74.391,-179.201,-3.128,0.101
22130.947,139052.842,0,-74.591,-179.21,-3.128,0.099
22387.211,140662.998,0,-74.791,-179.219,-3.128,0.097
22646.443,142291.798,0,-74.991,-179.228,-3.128,0.095
22908.677,143939.46,0,-75.191,-179.237,-3.128,0.093
23173.946,145606.2,0,-75.391,-179.245,-3.128,0.09
23442.288,147292.24,0,-75.591,-179.254,-3.129,0.088
23713.737,148997.804,0,-75.791,-179.263,-3.129,0.086
23988.329,150723.118,0,-75.991,-179.271,-3.129,0.084
24266.101,152468.409,0,-76.191,-179.279,-3.129,0.082
24547.089,154233.91,0,-76.391,-179.288,-3.129,0.081
24831.331,156019.854,0,-76.591,-179.296,-3.129,0.079
25118.864,157826.479,0,-76.791,-179.304,-3.129,0.077
25409.727,159654.024,0,-76.991,-179.312,-3.13,0.075
25703.958,161502.73,0,-77.191,-179.32,-3.13,0.074
26001.596,163372.844,0,-77.391,-179.327,-3.13,0.072
26302.68,165264.612,0,-77.591,-179.335,-3.13,0.07
26607.251,167178.286,0,-77.791,-179.343,-3.13,0.069
26915.348,169114.119,0,-77.991,-179.35,-3.13,0.067
27227.013,171072.369,0,-78.191,-179.358,-3.13,0.066
27542.287,173053.293,0,-78.391,-179.365,-3.131,0.064
27861.212,175057.156,0,-78.591,-179.372,-3.131,0.063
28183.829,177084.222,0,-78.791,-179.38,-3.131,0.061
28510.183,179134.761,0,-78.991,-179.387,-3.131,0.06
28840.315,181209.044,0,-79.191,-179.394,-3.131,0.058
29174.27,183307.345,0,-79.391,-179.401,-3.131,0.057
29512.092,185429.945,0,-79.591,-179.407,-3.131,0.056
29853.826,187577.122,0,-79.791,-179.414,-3.131,0.055
30199.517,189749.163,0,-79.991,-179.421,-3.131,0.053
30549.211,191946.355,0,-80.191,-179.428,-3.132,0.052
30902.954,194168.989,0,-80.391,-179.434,-3.132,0.051
31260.794,196417.359,0,-80.591,-179.441,-3.132,0.05
31622.777,198691.765,0,-80.791,-179.447,-3.132,0.049
31988.951,200992.508,0,-80.991,-179.453,-3.132,0.047
32359.366,203319.891,0,-81.191,-179.46,-3.132,0.046
32734.069,205674.224,0,-81.391,-179.466,-3.132,0.045
33113.112,208055.82,0,-81.591,-179.472,-3.132,0.044
33496.544,210464.993,0,-81.791,-179.478,-3.132,0.043
33884.416,212902.062,0,-81.991,-179.484,-3.133,0.042
34276.779,215367.352,0,-82.191,-179.49,-3.133,0.041
34673.685,217861.188,0,-82.391,-179.496,-3.133,0.04
35075.187,220383.902,0,-82.591,-179.501,-3.133,0.039
35481.339,222935.827,0,-82.791,-179.507,-3.133,0.039
35892.193,225517.303,0,-82.991,-179.513,-3.133,0.038
36307.805,228128.67,0,-83.191,-179.518,-3.133,0.037
36728.23,230770.275,0,-83.391,-179.524,-3.133,0.036
37153.523,233442.469,0,-83.591,-179.529,-3.133,0.035
37583.74,236145.606,0,-83.791,-179.535,-3.133,0.034
38018.94,238880.043,0,-83.991,-179.54,-3.134,0.034
38459.178,241646.143,0,-84.191,-179.545,-3.134,0.033
38904.514,244444.274,0,-84.391,-179.551,-3.134,0.032
39355.008,247274.805,0,-84.591,-179.556,-3.134,0.031
39810.717,250138.112,0,-84.791,-179.561,-3.134,0.031
40271.703,253034.575,0,-84.991,-179.566,-3.134,0.03
40738.028,255964.578,0,-85.191,-179.571,-3.134,0.029
41209.752,258928.508,0,-85.391,-179.576,-3.134,0.029
41686.938,261926.759,0,-85.591,-179.581,-3.134,0.028
42169.65,264959.727,0,-85.791,-179.585,-3.134,0.027
42657.952,268027.816,0,-85.991,-179.59,-3.134,0.027
43151.908,271131.432,0,-86.191,-179.595,-3.135,0.026
43651.583,274270.986,0,-86.391,-179.599,-3.135,0.025
44157.045,277446.895,0,-86.591,-179.604,-3.135,0.025
44668.359,280659.578,0,-86.791,-179.609,-3.135,0.024
45185.594,283909.463,0,-86.991,-179.613,-3.135,0.024
45708.819,287196.98,0,-87.191,-179.617,-3.135,0.023
46238.102,290522.564,0,-87.391,-179.622,-3.135,0.023
46773.514,293886.657,0,-87.591,-179.626,-3.135,0.022
47315.126,297289.704,0,-87.791,-179.63,-3.135,0.022
47863.009,300732.156,0,-87.991,-179.635,-3.135,0.021
48417.237,304214.471,0,-88.191,-179.639,-3.135,0.021
48977.882,307737.108,0,-88.391,-179.643,-3.135,0.02
49545.019,311300.536,0,-88.591,-179.647,-3.135,0.02
50118.723,314905.226,0,-88.791,-179.651,-3.136,0.019
50699.071,318551.657,0,-88.991,-179.655,-3.136,0.019
51286.138,322240.311,0,-89.191,-179.659,-3.136,0.018
51880.004,325971.678,0,-89.391,-179.663,-3.136,0.018
52480.746,329746.252,0,-89.591,-179.667,-3.136,0.018
53088.444,333564.534,0,-89.791,-179.671,-3.136,0.017
53703.18,337427.029,0,-89.991,-179.674,-3.136,0.017
54325.033,341334.25,0,-90.191,-179.678,-3.136,0.016
54954.087,345286.714,0,-90.391,-179.682,-3.136,0.016
55590.426,349284.946,0,-90.591,-179.685,-3.136,0.016
56234.133,353329.475,0,-90.791,-179.689,-3.136,0.015
56885.293,357420.838,0,-90.991,-179.693,-3.136,0.015
57543.994,361559.576,0,-91.191,-179.696,-3.136,0.015
58210.322,365746.239,0,-91.391,-179.7,-3.136,0.014
58884.366,369981.38,0,-91.591,-179.703,-3.136,0.014
59566.214,374265.563,0,-91.791,-179.706,-3.136,0.014
60255.959,378599.354,0,-91.991,-179.71,-3.137,0.013
60953.69,382983.328,0,-92.191,-179.713,-3.137,0.013
61659.5,387418.066,0,-92.391,-179.716,-3.137,0.013
62373.484,391904.155,0,-92.591,-179.72,-3.137,0.012
63095.734,396442.192,0,-92.791,-179.723,-3.137,0.012
63826.349,401032.776,0,-92.991,-179.726,-3.137,0.012
64565.423,405676.517,0,-93.191,-179.729,-3.137,0.012
65313.055,410374.029,0,-93.391,-179.732,-3.137,0.011
66069.345,415125.937,0,-93.591,-179.735,-3.137,0.011
66834.392,419932.868,0,-93.791,-179.738,-3.137,0.011
67608.298,424795.462,0,-93.991,-179.741,-3.137,0.011
68391.165,429714.361,0,-94.191,-179.744,-3.137,0.01
69183.097,434690.219,0,-94.391,-179.747,-3.137,0.01
69984.2,439723.695,0,-94.591,-179.75,-3.137,0.01
70794.578,444815.455,0,-94.791,-179.753,-3.137,0.01
71614.341,449966.175,0,-94.991,-179.756,-3.137,0.009
72443.596,455176.538,0,-95.191,-179.759,-3.137,0.009
73282.453,460447.234,0,-95.391,-179.761,-3.137,0.009
74131.024,465778.962,0,-95.591,-179.764,-3.137,0.009
74989.421,471172.428,0,-95.791,-179.767,-3.138,0.009
75857.758,476628.347,0,-95.991,-179.769,-3.138,0.008
76736.149,482147.444,0,-96.191,-179.772,-3.138,0.008
77624.712,487730.448,0,-96.391,-179.775,-3.138,0.008
78523.563,493378.1,0,-96.591,-179.777,-3.138,0.008
79432.823,499091.149,0,-96.791,-179.78,-3.138,0.008
80352.612,504870.352,0,-96.991,-179.782,-3.138,0.008
81283.052,510716.476,0,-97.191,-179.785,-3.138,0.007
82224.265,516630.294,0,-97.391,-179.787,-3.138,0.007
83176.377,522612.591,0,-97.591,-179.79,-3.138,0.007
84139.514,528664.159,0,-97.791,-179.792,-3.138,0.007
85113.804,534785.802,0,-97.991,-179.795,-3.138,0.007
86099.375,540978.329,0,-98.191,-179.797,-3.138,0.007
87096.359,547242.563,0,-98.391,-179.799,-3.138,0.006
88104.887,553579.333,0,-98.591,-179.802,-3.138,0.006
89125.094,559989.48,0,-98.791,-179.804,-3.138,0.006
90157.114,566473.853,0,-98.991,-179.806,-3.138,0.006
91201.084,573033.311,0,-99.191,-179.808,-3.138,0.006
92257.143,579668.724,0,-99.391,-179.81,-3.138,0.006
93325.43,586380.971,0,-99.591,-179.813,-3.138,0.006
94406.088,593170.943,0,-99.791,-179.815,-3.138,0.005
95499.259,600039.538,0,-99.991,-179.817,-3.138,0.005
96605.088,606987.669,0,-100.191,-179.819,-3.138,0.005
97723.722,614016.255,0,-100.391,-179.821,-3.138,0.005
98855.309,621126.228,0,-100.591,-179.823,-3.139,0.005
100000,628318.531,0,-100.791,-179.825,-3.139,0.005
101157.945,635594.116,0,-100.991,-179.827,-3.139,0.005
102329.299,642953.949,0,-101.191,-179.829,-3.139,0.005
103514.217,650399.005,0,-101.391,-179.831,-3.139,0.005
104712.855,657930.271,0,-101.591,-179.833,-3.139,0.004
105925.373,665548.744,0,-101.791,-179.835,-3.139,0.004
107151.931,673255.436,0,-101.991,-179.837,-3.139,0.004
108392.691,681051.366,0,-102.191,-179.839,-3.139,0.004
109647.82,688937.569,0,-102.391,-179.841,-3.139,0.004
110917.482,696915.09,0,-102.591,-179.842,-3.139,0.004
112201.845,704984.987,0,-102.791,-179.844,-3.139,0.004
113501.082,713148.328,0,-102.991,-179.846,-3.139,0.004
114815.362,721406.196,0,-103.191,-179.848,-3.139,0.004
116144.861,729759.687,0,-103.391,-179.849,-3.139,0.004
117489.755,738209.905,0,-103.591,-179.851,-3.139,0.004
118850.223,746757.973,0,-103.791,-179.853,-3.139,0.003
120226.443,755405.023,0,-103.991,-179.855,-3.139,0.003
121618.6,764152.201,0,-104.191,-179.856,-3.139,0.003
123026.877,773000.666,0,-104.391,-179.858,-3.139,0.003
124451.461,781951.592,0,-104.591,-179.859,-3.139,0.003
125892.541,791006.165,0,-104.791,-179.861,-3.139,0.003
127350.308,800165.585,0,-104.991,-179.863,-3.139,0.003
128824.955,809431.066,0,-105.191,-179.864,-3.139,0.003
130316.678,818803.836,0,-105.391,-179.866,-3.139,0.003
131825.674,828285.137,0,-105.591,-179.867,-3.139,0.003
133352.143,837876.227,0,-105.791,-179.869,-3.139,0.003
134896.288,847578.376,0,-105.991,-179.87,-3.139,0.003
136458.314,857392.871,0,-106.191,-179.872,-3.139,0.003
138038.426,867321.013,0,-106.391,-179.873,-3.139,0.003
139636.836,877364.117,0,-106.591,-179.875,-3.139,0.002
141253.754,887523.515,0,-106.791,-179.876,-3.139,0.002
142889.396,897800.553,0,-106.991,-179.878,-3.139,0.002
144543.977,908196.593,0,-107.191,-179.879,-3.139,0.002
146217.717,918713.014,0,-107.391,-179.88,-3.14,0.002
147910.839,929351.209,0,-107.591,-179.882,-3.14,0.002
149623.566,940112.589,0,-107.791,-179.883,-3.14,0.002
151356.125,950998.58,0,-107.991,-179.884,-3.14,0.002
153108.746,962010.624,0,-108.191,-179.886,-3.14,0.002
154881.662,973150.182,0,-108.391,-179.887,-3.14,0.002
156675.107,984418.73,0,-108.591,-179.888,-3.14,0.002
158489.319,995817.762,0,-108.791,-179.89,-3.14,0.002
160324.539,1007348.788,0,-108.991,-179.891,-3.14,0.002
162181.01,1019013.337,0,-109.191,-179.892,-3.14,0.002
164058.977,1030812.956,0,-109.391,-179.893,-3.14,0.002
165958.691,1042749.207,0,-109.591,-179.895,-3.14,0.002
167880.402,1054823.674,0,-109.791,-179.896,-3.14,0.002
169824.365,1067037.957,0,-109.991,-179.897,-3.14,0.002
171790.839,1079393.674,0,-110.191,-179.898,-3.14,0.002
173780.083,1091892.463,0,-110.391,-179.899,-3.14,0.002
175792.361,1104535.982,0,-110.591,-179.901,-3.14,0.002
177827.941,1117325.906,0,-110.791,-179.902,-3.14,0.002
179887.092,1130263.93,0,-110.991,-179.903,-3.14,0.002
181970.086,1143351.77,0,-111.191,-179.904,-3.14,0.001
184077.2,1156591.159,0,-111.391,-179.905,-3.14,0.001
186208.714,1169983.854,0,-111.591,-179.906,-3.14,0.001
188364.909,1183531.628,0,-111.791,-179.907,-3.14,0.001
190546.072,1197236.279,0,-111.991,-179.908,-3.14,0.001
192752.491,1211099.621,0,-112.191,-179.909,-3.14,0.001
194984.46,1225123.494,0,-112.391,-179.91,-3.14,0.001
197242.274,1239309.756,0,-112.591,-179.911,-3.14,0.001
199526.231,1253660.286,0,-112.791,-179.912,-3.14,0.001
201836.636,1268176.988,0,-112.991,-179.913,-3.14,0.001
204173.794,1282861.786,0,-113.191,-179.914,-3.14,0.001
206538.016,1297716.625,0,-113.391,-179.915,-3.14,0.001
208929.613,1312743.475,0,-113.591,-179.916,-3.14,0.001
211348.904,1327944.328,0,-113.791,-179.917,-3.14,0.001
213796.209,1343321.199,0,-113.991,-179.918,-3.14,0.001
216271.852,1358876.125,0,-114.191,-179.919,-3.14,0.001
218776.162,1374611.169,0,-114.391,-179.92,-3.14,0.001
221309.471,1390528.416,0,-114.591,-179.921,-3.14,0.001
223872.114,1406629.976,0,-114.791,-179.922,-3.14,0.001
226464.431,1422917.984,0,-114.991,-179.923,-3.14,0.001
229086.765,1439394.598,0,-115.191,-179.924,-3.14,0.001
231739.465,1456062.002,0,-115.391,-179.925,-3.14,0.001
234422.882,1472922.405,0,-115.591,-179.925,-3.14,0.001
237137.371,1489978.043,0,-115.791,-179.926,-3.14,0.001
239883.292,1507231.175,0,-115.991,-179.927,-3.14,0.001
242661.01,1524684.09,0,-116.191,-179.928,-3.14,0.001
245470.892,1542339.099,0,-116.391,-179.929,-3.14,0.001
248313.311,1560198.544,0,-116.591,-179.93,-3.14,0.001
251188.643,1578264.792,0,-116.791,-179.93,-3.14,0.001
254097.271,1596540.237,0,-116.991,-179.931,-3.14,0.001
257039.578,1615027.302,0,-117.191,-179.932,-3.14,0.001
260015.956,1633728.436,0,-117.391,-179.933,-3.14,0.001
263026.799,1652646.12,0,-117.591,-179.934,-3.14,0.001
266072.506,1671782.86,0,-117.791,-179.934,-3.14,0.001
269153.48,1691141.193,0,-117.991,-179.935,-3.14,0.001
272270.131,1710723.685,0,-118.191,-179.936,-3.14,0.001
275422.87,1730532.932,0,-118.391,-179.937,-3.14,0.001
278612.117,1750571.559,0,-118.591,-179.937,-3.14,0.001
281838.293,1770842.222,0,-118.791,-179.938,-3.141,0.001
285101.827,1791347.609,0,-118.991,-179.939,-3.141,0.001
288403.15,1812090.437,0,-119.191,-179.939,-3.141,0.001
291742.701,1833073.455,0,-119.391,-179.94,-3.141,0.001
295120.923,1854299.445,0,-119.591,-179.941,-3.141,0.001
298538.262,1875771.221,0,-119.791,-179.941,-3.141,0.001
301995.172,1897491.628,0,-119.991,-179.942,-3.141,0.001
305492.111,1919463.545,0,-120.191,-179.943,-3.141,0.001
309029.543,1941689.886,0,-120.391,-179.943,-3.141,0.001
312607.937,1964173.595,0,-120.591,-179.944,-3.141,0
316227.766,1986917.653,0,-120.791,-179.945,-3.141,0
319889.511,2009925.075,0,-120.991,-179.945,-3.141,0
323593.657,2033198.911,0,-121.191,-179.946,-3.141,0
327340.695,2056742.245,0,-121.391,-179.947,-3.141,0
331131.121,2080558.197,0,-121.591,-179.947,-3.141,0
334965.439,2104649.926,0,-121.791,-179.948,-3.141,0
338844.156,2129020.623,0,-121.991,-179.948,-3.141,0
342767.787,2153673.52,0,-122.191,-179.949,-3.141,0
346736.85,2178611.884,0,-122.391,-179.95,-3.141,0
350751.874,2203839.021,0,-122.591,-179.95,-3.141,0
354813.389,2229358.274,0,-122.791,-179.951,-3.141,0
358921.935,2255173.026,0,-122.991,-179.951,-3.141,0
363078.055,2281286.699,0,-123.191,-179.952,-3.141,0
367282.3,2307702.754,0,-123.391,-179.952,-3.141,0
371535.229,2334424.693,0,-123.591,-179.953,-3.141,0
375837.404,2361456.057,0,-123.791,-179.953,-3.141,0
380189.396,2388800.429,0,-123.991,-179.954,-3.141,0
384591.782,2416461.434,0,-124.191,-179.955,-3.141,0
389045.145,2444442.739,0,-124.391,-179.955,-3.141,0
393550.075,2472748.052,0,-124.591,-179.956,-3.141,0
398107.171,2501381.125,0,-124.791,-179.956,-3.141,0
402717.034,2530345.753,0,-124.991,-179.957,-3.141,0
407380.278,2559645.776,0,-125.191,-179.957,-3.141,0
412097.519,2589285.077,0,-125.391,-179.958,-3.141,0
416869.383,2619267.585,0,-125.591,-179.958,-3.141,0
421696.503,2649597.274,0,-125.791,-179.959,-3.141,0
426579.519,2680278.165,0,-125.991,-179.959,-3.141,0
431519.077,2711314.323,0,-126.191,-179.959,-3.141,0
436515.832,2742709.863,0,-126.391,-179.96,-3.141,0
441570.447,2774468.947,0,-126.591,-179.96,-3.141,0
446683.592,2806595.783,0,-126.791,-179.961,-3.141,0
451855.944,2839094.631,0,-126.991,-179.961,-3.141,0
457088.19,2871969.797,0,-127.191,-179.962,-3.141,0
462381.021,2905225.64,0,-127.391,-179.962,-3.141,0
467735.141,2938866.567,0,-127.591,-179.963,-3.141,0
473151.259,2972897.038,0,-127.791,-179.963,-3.141,0
478630.092,3007321.564,0,-127.991,-179.963,-3.141,0
484172.368,3042144.706,0,-128.191,-179.964,-3.141,0
489778.819,3077371.082,0,-128.391,-179.964,-3.141,0
495450.191,3113005.359,0,-128.591,-179.965,-3.141,0
501187.234,3149052.262,0,-128.791,-179.965,-3.141,0
506990.708,3185516.569,0,-128.991,-179.966,-3.141,0
512861.384,3222403.113,0,-129.191,-179.966,-3.141,0
518800.039,3259716.782,0,-129.391,-179.966,-3.141,0
524807.46,3297462.523,0,-129.591,-179.967,-3.141,0
530884.444,3335645.34,0,-129.791,-179.967,-3.141,0
537031.796,3374270.292,0,-129.991,-179.967,-3.141,0
543250.331,3413342.501,0,-130.191,-179.968,-3.141,0
549540.874,3452867.144,0,-130.391,-179.968,-3.141,0
555904.257,3492849.461,0,-130.591,-179.969,-3.141,0
562341.325,3533294.752,0,-130.791,-179.969,-3.141,0
568852.931,3574208.377,0,-130.991,-179.969,-3.141,0
575439.937,3615595.759,0,-131.191,-179.97,-3.141,0
582103.218,3657462.385,0,-131.391,-179.97,-3.141,0
588843.655,3699813.804,0,-131.591,-179.97,-3.141,0
595662.144,3742655.628,0,-131.791,-179.971,-3.141,0
602559.586,3785993.538,0,-131.991,-179.971,-3.141,0
609536.897,3829833.277,0,-132.191,-179.971,-3.141,0
616595.002,3874180.656,0,-132.391,-179.972,-3.141,0
623734.835,3919041.554,0,-132.591,-179.972,-3.141,0
630957.344,3964421.916,0,-132.791,-179.972,-3.141,0
638263.486,4010327.759,0,-132.991,-179.973,-3.141,0
645654.229,4056765.165,0,-133.191,-179.973,-3.141,0
653130.553,4103740.292,0,-133.391,-179.973,-3.141,0
660693.448,4151259.365,0,-133.591,-179.974,-3.141,0
668343.918,4199328.683,0,-133.791,-179.974,-3.141,0
676082.975,4247954.617,0,-133.991,-179.974,-3.141,0
683911.647,4297143.614,0,-134.191,-179.974,-3.141,0
691830.971,4346902.192,0,-134.391,-179.975,-3.141,0
699841.996,4397236.947,0,-134.591,-179.975,-3.141,0
707945.784,4448154.551,0,-134.791,-179.975,-3.141,0
716143.41,4499661.753,0,-134.991,-179.976,-3.141,0
724435.96,4551765.38,0,-135.191,-179.976,-3.141,0
732824.533,4604472.339,0,-135.391,-179.976,-3.141,0
